trip_id,route_id,service_id,direction_id,shape_id,trip_short_name,trip_headsign,plk_category_code,plk_train_number,plk_train_name
PLK_IC_2026_198605011_LEG1,IC_TLK_BUS,PLK_667,,,8328/9 Lubomirski,Kraków Główny,TLK,8328/9,LUBOMIRSKI
PLK_IC_2026_198605011_LEG2,IC_TLK,PLK_667,,RAIL_421,8328/9 Lubomirski,Kraków Główny,TLK,8328/9,LUBOMIRSKI
PLK_IC_2026_198708049,IC_IC,PLK_223,,RAIL_143,302 Danubius,Poznań Główny,EC/IC,47000/1,DANUBIUS
PLK_IC_2026_198710087,IC_IC,PLK_240,,RAIL_18,5700/1 Bałtyk,Poznań Główny,IC,5700/1,BAŁTYK
PLK_IC_2026_199234760,IC_IC,PLK_373,,RAIL_198,66100 Heweliusz,Wrocław Główny,IC,66100,HEWELIUSZ
PLK_IC_2026_199347016,IC_IC,PLK_2,,RAIL_297,9108/9 Uszatek,Warszawa Wschodnia,IC,9108/9,USZATEK
PLK_IC_2026_199904574,IC_IC,PLK_294,,RAIL_287,5322/3 Nida,Kraków Główny,IC,5322/3,NIDA
PLK_IC_2026_200023771,IC_IC,PLK_307,,RAIL_55,1902/3 Jagna,Łódź Fabryczna,IC,1902/3,JAGNA
PLK_IC_2026_201065014,IC_IC,PLK_271,,RAIL_65,1628/9 Mickiewicz,Wrocław Główny,IC,1628/9,MICKIEWICZ
PLK_IC_2026_201444313,IC_IC,PLK_671,,RAIL_135,3124/5 Łokietek,Warszawa Wschodnia,IC,3124/5,ŁOKIETEK
PLK_IC_2026_201951079_LEG0,IC_TLK,PLK_571,,RAIL_422,38170/1 Ustronie,Kołobrzeg,TLK,38170/1,USTRONIE
PLK_IC_2026_201951079_LEG1,IC_TLK_BUS,PLK_571,,,38170/1 Ustronie,Kołobrzeg,TLK,38170/1,USTRONIE
PLK_IC_2026_201951079_LEG2,IC_TLK,PLK_571,,RAIL_423,38170/1 Ustronie,Kołobrzeg,TLK,38170/1,USTRONIE
PLK_IC_2026_202168140,IC_IC,PLK_242,,RAIL_23,2403 Jadwiga,Gliwice,IC,2403,JADWIGA
PLK_IC_2026_202171638,IC_IC,PLK_254,,RAIL_111,107 Sobieski,Wien Westbahnhof,EC/IC,14012/3,SOBIESKI
PLK_IC_2026_202188632,IC_IC,PLK_336,,RAIL_256,6502/3 Mamry,Olsztyn Główny,IC,6502/3,MAMRY
PLK_IC_2026_202215761,IC_IC,PLK_457,,RAIL_59,1906/7 Prząśniczka,Łódź Fabryczna,IC,1906/7,PRZĄŚNICZKA
PLK_IC_2026_202751618,IC_IC,PLK_269,,RAIL_229,30173 Przemyślanin,Przemyśl Główny,IC,30173,PRZEMYŚLANIN
PLK_IC_2026_202752285_LEG0,IC_IC,PLK_225,,RAIL_150,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_202752285_LEG1,IC_IC_BUS,PLK_225,,,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_202752285_LEG2,IC_IC,PLK_225,,RAIL_328,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_203018865,IC_IC,PLK_323,,RAIL_162,1514/5 Żeglarz,Gdynia Główna,IC,1514/5,ŻEGLARZ
PLK_IC_2026_203904134_LEG0,IC_IC,PLK_667,,RAIL_318,58104/5 Bryza,Szczecin Główny,IC,58104/5,BRYZA
PLK_IC_2026_203904134_LEG1,IC_IC_BUS,PLK_667,,,58104/5 Bryza,Szczecin Główny,IC,58104/5,BRYZA
PLK_IC_2026_203904134_LEG2,IC_IC,PLK_667,,RAIL_319,58104/5 Bryza,Szczecin Główny,IC,58104/5,BRYZA
PLK_IC_2026_204190427,IC_IC,PLK_382,,RAIL_37,7324/5 Wybicki,Kraków Główny,IC,7324/5,WYBICKI
PLK_IC_2026_204286667,IC_IC,PLK_366,,RAIL_37,7324/5 Wybicki,Kraków Główny,IC,7324/5,WYBICKI
PLK_IC_2026_204801441,IC_TLK,PLK_368,,RAIL_37,73102/3 Pułaski,Kraków Główny,TLK,73102/3,PUŁASKI
PLK_IC_2026_204907540,IC_EIC,PLK_254,,RAIL_861,1308/9,Kraków Główny,EIC,1308/9,
PLK_IC_2026_205638898,IC_IC,PLK_323,,RAIL_292,28170/1 Uznam 440 Ursa,Świnoujście,IC,28170/1,UZNAM 440 URSA
PLK_IC_2026_205737581,IC_IC,PLK_279,,RAIL_94,1646/7 Konopnicka,Jelenia Góra,IC,1646/7,KONOPNICKA
PLK_IC_2026_205803298,IC_IC,PLK_2,,RAIL_91,7320/1 Cegielski,Kraków Główny,IC,7320/1,CEGIELSKI
