stop_id,stop_name,stop_lat,stop_lon
84434,Przemyśl Zasanie,49.79333476461,22.77345105872
8474,Smętowo,53.74783147334,18.68602577636
851,Gryfino,53.25433443787,14.49291904509
8607,Starogard Gdański,53.97727723921,18.52621946272
8904,Czersk,53.80072566028,17.97056937855
8961,Czarna Woda,53.85128125876,18.10877386083
8979,Łąg,53.83092531709,18.06266191197
8995,Kaliska,53.90293194235,18.21579803925
9209,Olsztyn Główny,53.78558384702,20.49670073688
9233,Olsztyn Zachodni,53.77834031204,20.46785566044
9456,Olsztynek,53.58481033064,20.29516784826
